R1, R2, C1, C2
9E, C, 3, 92
A0, 19, 3, 93
53, 2B, 3, 94
CD, 25, 3, 95
97, 74, 3, 96
EB, CD, 3, 97
1, 2D, 3, 98
9A, B6, 3, 99
85, E0, 3, 9A
7F, F1, 3, 9B
A1, 35, 3, 9C
9E, 9, 3, 9D
A0, D4, 3, 9E
56, B4, 3, 9F
19, 38, 3, A0
97, B3, 3, A1
ED, 78, 3, A2
3A, 3A, 3, A3
9A, 9E, 3, A4
84, 13, 3, A5
70, BC, 3, A6
D7, 3A, 3, A7
9E, 6E, 3, A8
A3, AF, 3, A9
4C, 41, 3, AA
35, 4F, 3, AB
97, F2, 3, AC
EC, E3, 3, AD
37, 47, 3, AE
9A, EA, 3, AF
84, C6, 3, B0
75, 7, 3, B1
FD, 4F, 3, B2
9E, 2F, 3, B3
A2, A, 3, B4
43, CA, 3, B5
41, 42, 3, B6
97, 91, 3, B7
EE, 4E, 3, B8
20, 4C, 3, B9
9A, EA, 3, BA
84, 89, 3, BB
76, 52, 3, BC
E3, 54, 3, BD
9E, 28, 3, BE
A2, A5, 3, BF
79, 57, 3, C0
9D, 58, 3, C1
96, 50, 3, C2
E1, 39, 3, C3
5D, 59, 3, C4
9A, 9E, 3, C5
87, 6C, 3, C6
68, 9D, 3, C7
9, 59, 3, C8
9E, CD, 3, C9
A5, C0, 3, CA
7C, E0, 3, CB
A9, 6D, 3, CC
96, 57, 3, CD
E0, A4, 3, CE
56, 66, 3, CF
9A, B6, 3, D0
87, EF, 3, D1
6D, E8, 3, D2
3F, 6E, 3, D3
9E, C2, 3, D4
A4, 3B, 3, D5
72, 6D, 3, D6
C5, 62, 3, D7
96, E, 3, D8
E2, 4F, 3, D9
43, 73, 3, DA
9A, AA, 3, DB
87, 92, 3, DC
6E, 33, 3, DD
25, 73, 3, DE
9E, CB, 3, DF
A7, 76, 3, E0
69, F6, 3, E1
11, 77, 3, E2
96, F5, 3, E3
E5, FA, 3, E4
7C, 78, 3, E5
9A, 9A, 3, E6
86, 45, 3, E7
63, 7E, 3, E8
4B, 78, 3, E9
9E, 54, 3, EA
A7, 31, 3, EB
6F, 83, 3, EC
2D, 8C, 3, ED
96, 3C, 3, EE
E4, 65, 3, EF
69, 85, 3, F0
9A, 76, 3, F1
86, 18, 3, F2
65, 49, 3, F3
71, 8D, 3, F4
9E, 61, 3, F5
A6, EC, 3, F6
62, C, 3, F7
79, 81, 3, F8
96, 6B, 3, F9
E6, D0, 3, FA
62, 92, 3, FB
9A, 6E, 3, FC
86, 7B, 3, FD
66, 14, 3, FE
67, 92, 3, FF
DA, 96, 4, 0
9A, 15, 4, 1
92, 88, 4, 2
8A, 95, 4, 3
1A, 1A, 4, 4
9F, 9F, 4, 5
9E, 9A, 4, 6
BA, A5, 4, 7
98, 9F, 4, 8
88, 97, 4, 9
92, B4, 4, A
DA, 11, 4, B
9C, A0, 4, C
AE, B3, 4, D
8A, 9C, 4, E
1B, 45, 4, F
8A, A2, 4, 10
9E, B6, 4, 11
BA, 38, 4, 12
9E, 68, 4, 13
B2, A2, 4, 14
92, 81, 4, 15
DB, CC, 4, 16
91, 2F, 4, 17
FA, BE, 4, 18
8A, CB, 4, 19
19, F0, 4, 1A
81, B5, 4, 1B
9E, AE, 4, 1C
BA, 5B, 4, 1D
9D, 35, 4, 1E
A4, BD, 4, 1F
92, F6, 4, 20
D8, A7, 4, 21
8B, BA, 4, 22
16, A9, 4, 23
8A, 2A, 4, 24
1E, 1B, 4, 25
BC, B8, 4, 26
9E, 9A, 4, 27
